MSN,YYYYMM,Value,Description
CLEIEUS,197301,72.076,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197302,64.442,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197303,64.084,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197304,60.842,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197305,61.798,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197306,66.538,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197307,72.626,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197308,75.181,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197309,68.397,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197310,67.668,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197311,67.021,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197312,71.118,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197313,811.791,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197401,70.55,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197402,62.929,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197403,64.519,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197404,60.544,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197405,64.687,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197406,64.736,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197407,73.698,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197408,72.559,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197409,63.221,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197410,65.418,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197411,65.593,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197412,71.677,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197413,800.131,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197501,72.708,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197502,65.117,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197503,66.532,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197504,61.975,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197505,62.031,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197506,67.875,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197507,74.184,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197508,77.029,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197509,66.156,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197510,66.651,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197511,67.625,Coal Electric Power Sector CO2 Emissions
CLEIEUS,197512,75.857,Coal Electric Power Sector CO2 Emissions
